Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Schaerbeek,1030,Apartment,apartment,320000,2,117,1,0,0,1,0,0,0,1,323,0,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20294802,2735.042735042735,0.01135009252269793,0.128,0.18783947368421053,0.47654732029513713,0.2396759183972921,0.15876566857142857,0.13700230701200253,0.7864438202662855,0.24438596491228068
Beveren-leie,8791,House,villa,1350000,4,320,1,0,1,0,0,1,873,6,14,3,https://www.immoweb.be/en/classified/villa/for-sale/beveren-leie/8791/20279507,4218.75,0.017507296034766973,0.54,0.3184,1.0,0.5356062052779402,0.42562222222222224,0.27190000000000003,0.783305349684755,0.3598997493734335
Stekene,9190,House,house,475000,5,154,1,0,0,1,1,0,402,6,0,3,https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20300771,3084.4155844155844,0.012799947076885906,0.19,0.18722861818181818,1.0,0.7251596118954756,0.20020378666666666,0.21047090000000002,0.783305349684755,0.2372536722133202
Londerzeel,1840,House,house,499500,4,166,1,0,0,0,0,0,415,6,0,5,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/20320377,3009.0361445783133,0.012487131629616927,0.1998,0.2415968,1.0,0.5356062052779402,0.20538863157894738,0.2356701,1.0,0.2372536722133202
Oostende,8400,Apartment,apartment,245000,2,64,0,0,0,1,0,0,0,5,158,5,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20294742,3828.125,0.015886250105621884,0.098,0.1274333653846154,0.47654732029513713,0.2396759183972921,0.0882164,0.13700230701200253,1.0,0.24849624060150374
Vilvoorde,1800,Apartment,apartment,468000,2,117,0,0,0,1,0,0,0,6,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20289570,4000.0,0.016599510314445724,0.1872,0.16124337435897435,0.47654732029513713,0.2396759183972921,0.15876566857142857,0.13700230701200253,0.7864438202662855,0.2372536722133202
S-gravenwezel,2970,House,villa,1949000,6,616,1,0,1,0,0,0,14581,5,197,5,https://www.immoweb.be/en/classified/villa/for-sale/s-gravenwezel/2970/20329788,3163.961038961039,0.013130050975184543,0.7796,0.40587327777777776,1.0,0.8479828830964767,0.7796,0.7796,1.0,0.31114628676955547
Antwerpen,2000,Apartment,apartment,495000,2,117,1,0,0,1,0,0,0,5,194,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20289598,4230.7692307692305,0.01755717437104836,0.198,0.2224523833333333,0.47654732029513713,0.2396759183972921,0.15876566857142857,0.13700230701200253,1.0,0.26342780026990553
Vilvoorde,1800,Apartment,apartment,361467,3,123,0,0,0,1,0,0,0,6,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20289568,2938.756097560976,0.01219547803827592,0.1445868,0.16124337435897435,0.47654732029513713,0.36599695373253655,0.16274080000000002,0.13700230701200253,0.7864438202662855,0.2372536722133202
Gent,9000,House,house,298000,2,94,0,0,0,0,1,0,57,5,117,5,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20290063,3170.2127659574467,0.013155994876874536,0.1192,0.19581,1.0,0.2396759183972921,0.1319084476190476,0.13286666666666666,1.0,0.3037259816207184
